timestamp,sensor_id,voltage,current,frequency,power,temperature,load_percentage,status
2022-01-01 00:00:00.000000,V-01,230.14,10.68,50.0,2457.9,27.54,30.44,0
2022-01-02 00:01:26.486486,V-01,210.91,9.77,50.1,2060.59,38.37,33.75,0
2022-01-03 00:02:52.972972,V-01,215.39,9.46,49.95,2037.59,28.14,79.34,0
2022-01-04 00:04:19.459459,V-01,215.63,8.88,50.04,1914.79,20.49,63.6,0
2022-01-05 00:05:45.945945,V-01,218.53,9.36,49.92,2045.44,30.85,62.48,0
2022-01-06 00:07:12.432432,V-01,220.85,10.1,49.83,2230.58,36.71,68.13,0
2022-01-07 00:08:38.918918,V-01,221.69,11.69,50.0,2591.56,19.94,45.29,0
2022-01-08 00:10:05.405405,V-01,229.64,10.33,50.19,2372.18,27.56,27.78,0
2022-01-09 00:11:31.891891,V-01,216.07,9.26,49.87,2000.81,37.05,40.31,0
2022-01-10 00:12:58.378378,V-01,215.05,9.61,50.08,2066.63,24.27,74.65,0
2022-01-11 00:14:24.864864,V-01,212.67,10.2,49.93,2169.23,34.42,78.9,0
2022-01-12 00:15:51.351351,V-01,213.31,9.52,50.27,2030.71,30.48,76.19,0
2022-01-13 00:17:17.837837,V-01,217.76,10.37,49.96,2258.17,32.37,28.98,0
2022-01-14 00:18:44.324324,V-01,210.62,9.35,50.08,1969.3,38.3,31.05,0
2022-01-15 00:20:10.810810,V-01,215.54,10.11,49.96,2179.11,29.63,50.03,0
2022-01-16 00:21:37.297297,V-01,226.4,10.05,50.13,2275.32,30.46,34.69,0
2022-01-17 00:23:03.783783,V-01,222.54,10.86,49.96,2416.78,27.14,39.36,0
2022-01-18 00:24:30.270270,V-01,224.91,8.93,49.96,2008.45,34.85,70.47,0
2022-01-19 00:25:56.756756,V-01,215.21,9.28,49.89,1997.15,24.82,43.06,0
2022-01-20 00:27:23.243243,V-01,233.42,10.24,49.94,2390.22,22.19,49.14,0
2022-01-21 00:28:49.729729,V-01,205.05,9.48,49.97,1943.87,29.64,68.63,0
2022-01-22 00:30:16.216216,V-01,213.43,8.7,50.04,1856.84,30.77,21.44,0
2022-01-23 00:31:42.702702,V-01,224.19,10.49,50.12,2351.75,34.7,56.17,0
2022-01-24 00:33:09.189189,V-01,216.12,10.68,50.06,2308.16,32.52,52.89,0
2022-01-25 00:34:35.675675,V-01,223.37,10.15,49.78,2267.21,23.13,74.03,0
2022-01-26 00:36:02.162162,V-01,215.2,8.27,50.05,1779.7,31.52,78.4,0
2022-01-27 00:37:28.648648,V-01,216.37,10.07,50.0,2178.85,25.63,71.9,0
2022-01-28 00:38:55.135135,V-01,217.89,11.74,50.08,2558.03,28.62,70.78,0
2022-01-29 00:40:21.621621,V-01,225.49,11.43,50.21,2577.35,29.86,36.55,0
2022-01-30 00:41:48.108108,V-01,227.53,10.37,50.02,2359.49,33.8,44.79,0
2022-01-31 00:43:14.594594,V-01,220.95,8.91,50.0,1968.66,26.35,54.48,0
2022-02-01 00:44:41.081081,V-01,222.69,8.9,49.9,1981.94,35.97,25.81,0
