timestamp,device_id,voltage,latency,status,ensemble_pred
2024-01-01 03:21:30,SGD-0029,218.2535,18.09,0,0
2024-01-02 04:28:45,SGD-0042,215.4426,326.27,1,1
2024-01-01 20:26:10,SGD-0036,397.8761,72.13,1,1
2024-01-02 09:54:50,SGD-0014,200.1861,19.69,2,2
2024-01-02 13:12:40,SGD-0030,230.0223,26.36,2,2
2024-01-02 15:56:00,SGD-0011,230.0803,26.12,2,2
2024-01-01 07:36:00,SGD-0010,220.7088,14.65,0,0
2024-01-01 14:35:50,SGD-0013,218.1892,8.93,0,0
2024-01-02 17:38:25,SGD-0037,212.9653,20.68,2,0
2024-01-01 10:22:55,SGD-0015,220.6344,27.91,0,0
2024-01-02 11:13:45,SGD-0041,218.6562,23.46,2,2
2024-01-02 13:06:50,SGD-0005,211.6591,26.86,2,2
2024-01-02 02:25:25,SGD-0018,223.7978,230.27,1,1
2024-01-02 01:29:55,SGD-0039,213.6659,97.06,1,1
2024-01-01 14:37:00,SGD-0012,222.5551,16.77,0,0
2024-01-01 13:17:10,SGD-0005,218.0717,20.35,0,0
2024-01-01 03:17:35,SGD-0042,207.4869,11.26,0,0
2024-01-02 14:24:20,SGD-0041,236.4882,15.66,2,2
2024-01-02 09:26:55,SGD-0012,209.5242,19.59,2,2
2024-01-02 00:43:10,SGD-0010,215.2457,97.72,1,1
2024-01-02 13:01:30,SGD-0038,222.4953,27.85,2,2
2024-01-01 06:42:15,SGD-0004,213.9504,9.39,0,0
2024-01-02 04:06:00,SGD-0005,194.4998,263.96,1,1
2024-01-02 09:36:35,SGD-0017,211.4162,31.58,2,2
2024-01-02 15:25:55,SGD-0032,214.2892,35.59,2,2
2024-01-02 09:02:50,SGD-0049,227.406,13.47,2,2
2024-01-01 17:30:35,SGD-0033,183.5248,81.96,1,1
2024-01-01 12:11:35,SGD-0012,222.672,19.66,0,0
2024-01-02 03:50:40,SGD-0049,207.243,318.65,1,1
2024-01-02 01:24:20,SGD-0037,196.3426,447.09,1,1
