timestamp,device_id,voltage,current,power,frequency,temperature,latency,packet_loss,throughput,duplicate_packet,checksum_valid,authentication_fail,base_prediction,adaptive_prediction,prediction_match,total_retrains
2026-05-28 12:41:11.965,SGD-0039,211.448,4.1532,0.0,49.9357,34.829,20.36,0.45,92.59,0,1,0,2,2,1,0
2026-05-28 12:41:12.066,SGD-0012,220.1238,5.4935,0.0,49.9928,27.851,14.7,0.52,90.82,3,1,0,0,0,1,0
2026-05-28 12:41:12.169,SGD-0037,191.1928,10.2221,1779.7232,52.0738,36.008,29.22,6.5,67.76,5,1,7,1,1,1,0
2026-05-28 12:41:12.271,SGD-0045,181.4039,19.9585,3671.8574,48.8892,37.662,207.56,29.25,38.24,10,0,7,1,1,1,0
2026-05-28 12:41:12.372,SGD-0024,224.1134,5.1572,0.0,49.7758,41.752,23.78,0.74,87.1,0,1,0,2,2,1,0
2026-05-28 12:41:12.474,SGD-0050,210.5282,5.4937,848.2736,49.9954,35.266,14.83,0.45,89.98,0,1,0,2,2,1,0
2026-05-28 12:41:12.576,SGD-0038,202.3071,4.8254,825.2228,49.9522,32.348,25.52,0.52,96.05,0,1,0,2,2,1,0
2026-05-28 12:41:12.677,SGD-0014,203.5912,4.08,699.7749,50.0278,27.954,17.09,0.53,94.04,2,1,0,1,1,1,0
2026-05-28 12:41:12.779,SGD-0031,208.2131,5.3083,1047.7429,50.0419,28.159,13.29,0.6,93.4,1,1,0,1,1,1,0
2026-05-28 12:41:12.880,SGD-0024,224.5612,7.6668,1637.7325,49.8086,56.713,19.88,2.18,79.45,0,1,0,2,2,1,0
2026-05-28 12:41:12.981,SGD-0032,222.5261,5.5386,1065.4975,50.0206,46.847,85.7,2.18,77.92,2,1,0,1,1,1,0
2026-05-28 12:41:13.082,SGD-0042,206.3328,5.5231,1076.1266,50.0262,31.481,31.78,9.59,72.17,12,1,6,1,1,1,0
2026-05-28 12:41:13.184,SGD-0031,208.7011,5.4294,1103.1165,50.0473,30.156,15.94,0.95,90.86,1,1,0,1,1,1,0
2026-05-28 12:41:13.287,SGD-0018,204.9136,4.9719,784.9575,49.991,30.702,20.21,0.31,90.21,0,1,1,2,2,1,0
2026-05-28 12:41:13.389,SGD-0010,281.2589,10.1983,2485.2151,49.4272,35.667,135.03,13.52,28.45,4,1,5,1,1,1,0
2026-05-28 12:41:13.491,SGD-0019,200.3555,4.8142,951.4361,49.9866,27.828,14.25,0.52,92.94,0,1,0,2,2,1,0
2026-05-28 12:41:13.592,SGD-0007,210.0969,4.7224,842.163,49.9814,30.435,19.05,0.57,90.48,1,1,0,1,1,1,0
2026-05-28 12:41:13.694,SGD-0007,210.9919,5.2191,1001.5424,50.019,28.586,17.88,0.48,88.99,1,1,0,1,1,1,0
2026-05-28 12:41:13.795,SGD-0011,213.7316,6.1316,1122.5677,50.0504,35.261,24.71,3.26,78.34,0,1,1,2,2,1,0
2026-05-28 12:41:13.896,SGD-0022,217.1697,6.7828,1363.8675,50.0733,41.479,14.88,2.47,81.67,0,1,0,2,2,1,0
2026-05-28 12:41:13.997,SGD-0028,213.5167,4.7957,906.4021,49.9812,30.21,31.59,6.5,81.16,8,1,7,1,1,1,0
2026-05-28 12:41:14.099,SGD-0023,210.5304,4.8412,974.1534,50.0867,31.287,17.43,0.55,94.86,2,1,0,1,1,1,0
2026-05-28 12:41:14.202,SGD-0015,331.144,26.8867,9717.1603,53.3639,29.114,122.43,29.2,37.27,2,0,0,1,1,1,0
2026-05-28 12:41:14.303,SGD-0017,217.8791,4.9729,828.1459,49.9806,36.323,16.14,0.7,91.67,0,1,0,2,2,1,0
2026-05-28 12:41:14.405,SGD-0029,209.6842,4.7819,909.1316,50.1864,33.327,92.73,10.65,75.26,0,1,0,2,2,1,0
2026-05-28 12:41:14.506,SGD-0012,220.2427,4.9508,966.1646,50.0377,27.506,17.12,0.41,89.36,1,1,1,1,1,1,0
2026-05-28 12:41:14.607,SGD-0036,206.7009,8.0238,1299.0787,50.3698,48.607,129.44,29.95,31.99,14,0,13,1,1,1,0
2026-05-28 12:41:14.710,SGD-0029,209.5618,5.1602,949.8153,50.0991,34.163,65.69,7.07,83.89,0,1,0,2,2,1,0
2026-05-28 12:41:14.812,SGD-0038,201.5167,5.3468,947.8739,50.032,31.539,24.21,0.45,97.07,0,1,1,2,2,1,0
2026-05-28 12:41:14.914,SGD-0001,208.1744,5.2894,1064.1951,49.9482,29.857,17.3,0.39,96.27,0,1,1,2,2,1,0
2026-05-28 12:41:15.015,SGD-0031,206.6614,5.7017,955.1646,50.0079,29.513,17.18,1.03,93.77,0,1,0,2,2,1,0
2026-05-28 12:41:15.117,SGD-0010,255.6437,7.6783,1840.108,49.6397,34.395,93.57,8.9,49.01,0,1,0,2,2,1,0
2026-05-28 12:41:15.219,SGD-0002,207.7311,5.4845,931.133,50.0897,32.847,18.89,0.43,95.85,1,1,0,1,1,1,0
2026-05-28 12:41:15.321,SGD-0043,210.8027,5.9037,1051.4587,49.924,30.3,19.19,0.55,96.02,0,1,0,2,2,1,0
2026-05-28 12:41:15.423,SGD-0009,223.7011,5.4041,1024.0562,49.8464,55.651,23.87,1.87,78.92,0,1,0,2,2,1,0
2026-05-28 12:41:15.524,SGD-0028,215.8156,5.3724,966.7104,49.9848,29.89,67.91,11.25,61.31,10,1,3,1,1,1,0
2026-05-28 12:41:15.626,SGD-0040,204.5991,4.179,643.0881,50.0255,31.449,20.54,0.52,96.53,0,1,0,2,2,1,0
2026-05-28 12:41:15.727,SGD-0028,182.7921,13.0693,2045.1366,52.6,46.564,108.57,10.47,42.63,4,0,7,1,1,1,0
2026-05-28 12:41:15.829,SGD-0036,206.3257,7.638,1243.263,50.2053,43.518,88.46,19.52,55.45,0,1,0,2,2,1,0
2026-05-28 12:41:15.931,SGD-0008,202.8325,3.1513,567.5757,50.0225,29.855,17.5,0.42,90.51,2,1,0,1,1,1,0
2026-05-28 12:41:16.033,SGD-0039,209.4047,3.9098,663.2389,50.0042,32.203,19.6,0.34,92.69,0,1,0,2,2,1,0
2026-05-28 12:41:16.134,SGD-0045,201.8827,14.3403,2697.1241,49.4133,39.271,140.61,19.22,50.33,2,1,0,1,1,1,0
2026-05-28 12:41:16.235,SGD-0009,217.9112,7.0441,1217.3541,50.083,49.343,117.29,17.95,56.89,14,1,9,1,1,1,0
2026-05-28 12:41:16.337,SGD-0042,239.5788,5.6629,1350.5864,48.993,35.167,31.43,11.42,71.98,2,0,0,1,1,1,0
2026-05-28 12:41:16.438,SGD-0021,216.3513,6.6896,1414.4685,49.9921,28.278,21.07,0.4,91.98,0,1,0,2,2,1,0
2026-05-28 12:41:16.540,SGD-0010,241.0036,6.307,1301.7913,49.7641,34.12,71.62,5.94,63.43,0,1,0,2,2,1,0
2026-05-28 12:41:16.641,SGD-0021,212.4677,5.9652,1168.1031,49.963,29.556,19.52,0.42,92.14,1,1,0,1,1,1,0
2026-05-28 12:41:16.742,SGD-0026,206.4176,3.9514,655.5928,49.9869,29.224,20.62,0.51,93.24,0,1,0,2,2,1,0
2026-05-28 12:41:16.844,SGD-0044,189.6729,15.0699,2326.1104,51.3546,25.797,141.49,11.02,78.46,4,1,9,1,1,1,0
2026-05-28 12:41:16.945,SGD-0023,208.9447,4.938,923.5194,50.0256,32.059,15.55,0.44,93.96,0,1,0,2,2,1,0
2026-05-28 12:41:17.047,SGD-0021,211.8073,5.2322,953.0359,50.0257,28.986,17.24,0.58,93.28,0,1,0,2,2,1,0
2026-05-28 12:41:17.148,SGD-0010,229.1577,5.8693,1108.1418,49.8186,32.991,51.6,4.12,72.78,0,1,0,2,2,1,0
2026-05-28 12:41:17.249,SGD-0013,212.8605,4.8144,868.6225,49.9654,26.234,18.56,0.75,93.95,0,1,1,2,2,1,0
2026-05-28 12:41:17.352,SGD-0023,213.6476,5.2856,996.3079,50.6048,39.797,290.3,10.66,67.69,16,1,7,1,1,1,0
2026-05-28 12:41:17.454,SGD-0003,203.8881,4.4105,855.9178,50.0799,31.792,18.37,0.41,96.72,1,1,1,1,1,1,0
2026-05-28 12:41:17.555,SGD-0022,216.044,6.5313,1414.3679,50.0159,40.731,13.03,1.97,86.05,0,1,0,2,2,1,0
2026-05-28 12:41:17.657,SGD-0029,206.8734,5.1899,977.7811,50.0655,30.32,47.86,4.72,89.27,1,0,0,1,1,1,0
2026-05-28 12:41:17.759,SGD-0035,213.1935,4.5648,856.799,49.8668,35.812,20.61,1.23,91.55,0,1,0,2,2,1,0
2026-05-28 12:41:17.860,SGD-0043,209.7564,5.6037,1188.5481,49.9454,30.29,15.73,0.43,94.74,0,1,0,2,2,1,0
2026-05-28 12:41:17.963,SGD-0034,214.9907,4.0947,793.6113,50.0091,29.453,33.89,4.65,77.48,13,1,1,1,1,1,0
2026-05-28 12:41:18.064,SGD-0040,202.5182,3.7196,741.8624,49.9536,31.124,20.14,0.45,95.39,0,1,0,2,2,1,0
2026-05-28 12:41:18.166,SGD-0014,208.7968,6.3663,1305.0764,49.7087,31.089,19.35,1.96,95.2,4,1,0,1,1,1,0
2026-05-28 12:41:18.268,SGD-0009,221.4436,7.2687,1447.144,50.0657,44.484,94.61,15.66,54.68,5,1,7,1,1,1,0
2026-05-28 12:41:18.369,SGD-0018,204.4772,4.7749,841.4526,49.9476,29.75,23.02,0.99,92.06,1,1,0,1,1,1,0
2026-05-28 12:41:18.471,SGD-0046,207.4174,5.2863,1026.8358,49.3224,44.149,358.06,10.46,65.73,10,1,4,1,1,1,0
2026-05-28 12:41:18.573,SGD-0033,208.8373,4.5985,930.696,50.0375,29.03,15.72,0.35,90.51,0,1,0,2,2,1,0
2026-05-28 12:41:18.674,SGD-0002,212.2787,6.7629,1210.3487,50.096,33.6,17.58,0.72,85.04,3,1,0,1,1,1,0
2026-05-28 12:41:18.775,SGD-0041,187.02,10.4541,1612.9925,51.8542,40.386,44.58,8.89,64.57,5,0,8,1,1,1,0
2026-05-28 12:41:18.876,SGD-0029,205.9002,4.4101,750.5423,50.0453,28.645,36.05,3.61,92.64,0,1,0,2,2,1,0
2026-05-28 12:41:18.978,SGD-0005,266.9415,14.5058,2977.3083,50.6861,32.978,78.57,13.46,51.93,7,1,6,1,1,1,0
2026-05-28 12:41:19.079,SGD-0036,205.9392,7.2686,1323.3096,50.1286,37.395,66.03,12.88,67.65,0,1,0,2,2,1,0
2026-05-28 12:41:19.181,SGD-0012,219.6088,4.1122,785.5352,50.0926,26.779,24.52,0.42,88.43,0,1,1,2,2,1,0
2026-05-28 12:41:19.282,SGD-0043,208.5205,4.8068,876.6221,50.0084,32.128,15.28,0.38,91.37,1,1,0,1,1,1,0
2026-05-28 12:41:19.383,SGD-0043,208.448,5.0359,897.4748,49.9974,29.649,15.87,0.44,93.61,1,1,1,1,1,1,0
2026-05-28 12:41:19.485,SGD-0044,200.4328,13.7395,2503.5642,49.5615,38.356,108.01,13.63,71.7,0,1,4,2,2,1,0
2026-05-28 12:41:19.587,SGD-0050,217.9316,5.6891,1206.3639,49.886,42.604,51.57,1.33,80.99,1,1,0,1,1,1,0
2026-05-28 12:41:19.689,SGD-0025,217.0453,3.5957,725.4096,50.0654,29.662,16.87,0.95,93.82,0,1,0,2,2,1,0
2026-05-28 12:41:19.790,SGD-0016,213.4662,5.3144,972.6357,49.9294,28.668,15.52,0.39,92.32,0,1,0,2,2,1,0
2026-05-28 12:41:19.891,SGD-0030,209.3801,5.4046,991.2806,50.0772,32.41,15.53,0.39,95.4,0,1,1,2,2,1,0
2026-05-28 12:41:19.993,SGD-0003,204.1512,4.8278,933.6899,50.0547,32.541,20.19,0.33,93.05,0,1,0,2,2,1,0
2026-05-28 12:41:20.095,SGD-0037,204.888,9.8472,1734.4813,51.6258,33.733,38.58,6.47,72.09,2,1,1,1,1,1,0
2026-05-28 12:41:20.196,SGD-0010,222.3231,5.0565,1050.2765,49.9503,29.527,41.65,2.75,80.62,0,1,0,2,2,1,0
2026-05-28 12:41:20.299,SGD-0038,202.5342,5.0016,866.7054,49.9608,32.782,22.18,0.8,97.56,0,1,0,2,2,1,0
2026-05-28 12:41:20.402,SGD-0010,219.1763,4.1869,764.6921,49.9651,29.484,31.3,1.91,84.2,0,1,0,2,2,1,0
