timestamp,device_id,voltage,current,power,frequency,temperature,latency,packet_loss,throughput,duplicate_packet,checksum_valid,authentication_fail,label
2024-01-02 14:11:10,SGD-0008,227.8014,7.7383,1456.787,49.8393,89.7859,72.3544,8.5995,80.5682,3.0,1,0,2
2024-01-01 00:49:25,SGD-0021,218.9947,5.4281,1129.286,50.1159,28.7579,9.0021,0.3433,94.1259,0.0,1,0,0
2024-01-01 00:34:30,SGD-0009,222.5453,5.2337,1106.4908,50.1176,30.4689,17.6215,1.2034,94.3954,0.0,1,0,0
2024-01-01 09:38:45,SGD-0035,219.5427,6.935,1446.4121,50.1128,39.3159,6.8194,0.5582,90.4204,1.0,1,0,0
2024-01-01 13:40:30,SGD-0023,219.6669,6.5089,1358.3046,49.8635,25.9474,27.9458,0.3345,93.0392,0.0,1,0,0
2024-01-01 06:37:40,SGD-0006,217.1899,7.0001,1444.3422,49.9117,38.864,28.0183,0.172,90.9341,0.0,1,0,0
2024-01-01 14:31:00,SGD-0018,223.3277,4.831,1024.9439,50.0232,32.6506,5.6717,0.6119,92.471,1.0,1,0,0
2024-01-01 19:17:15,SGD-0010,293.7421,23.1064,4049.6241,54.8671,44.358,98.4768,11.5964,43.6388,0.0,1,3,1
2024-01-01 08:41:45,SGD-0007,219.0592,4.7301,984.3687,49.9785,38.7872,24.6109,0.1094,92.651,1.0,1,0,0
2024-01-01 04:16:35,SGD-0035,219.2936,4.3124,898.4063,50.0395,38.0806,21.9686,1.6152,93.9765,1.0,1,0,0
2024-01-01 10:44:30,SGD-0029,217.7845,5.245,1085.1652,50.1375,37.9409,13.659,0.5555,91.6474,2.0,1,0,0
2024-01-01 09:52:20,SGD-0021,218.7197,5.3364,1108.8265,50.0261,33.6754,13.5741,0.8951,97.5777,1.0,1,0,0
2024-01-01 13:46:35,SGD-0014,217.3425,6.6154,1365.9263,49.9328,25.7323,24.3037,1.3192,99.5716,2.0,1,0,0
2024-01-02 02:12:10,SGD-0043,220.9122,9.3677,1083.0541,48.5884,54.7124,846.7802,77.1126,4.0689,39.0,0,11,1
2024-01-01 15:21:45,SGD-0029,220.0004,4.9414,1032.76,50.1116,31.2313,11.6638,1.0481,93.6665,0.0,1,0,0
2024-01-02 13:29:10,SGD-0014,225.5877,6.5106,1952.1927,49.82,99.4613,50.4804,1.4279,71.9787,2.0,1,0,2
2024-01-01 20:22:35,SGD-0039,264.2443,9.7404,1148.7208,49.9902,31.0509,179.2399,37.1503,18.2493,7.0,0,4,1
2024-01-01 23:46:05,SGD-0029,223.959,6.9595,1480.7136,50.0,30.0,460.0784,43.9561,46.9722,23.0,1,5,1
2024-01-01 17:52:00,SGD-0021,216.3316,1.3649,299.4538,49.0223,33.7893,248.4228,16.3505,54.0868,8.0,1,1,1
2024-01-02 12:29:20,SGD-0007,217.3345,4.625,954.9084,50.0,32.3387,18.1204,0.5991,87.895,0.0,1,0,2
2024-01-02 01:17:20,SGD-0010,225.1247,6.3952,1649.79,50.0624,44.9525,452.6529,71.3699,4.296,31.0,0,12,1
2024-01-01 21:18:25,SGD-0030,217.5111,5.9862,1236.9593,50.0,30.0,483.0175,29.7567,41.7067,17.0,1,7,1
2024-01-01 12:03:10,SGD-0050,219.6091,4.5682,953.0638,50.1731,35.1427,9.7415,1.8376,90.7966,1.0,1,0,0
2024-01-01 07:22:45,SGD-0018,223.3376,6.1604,1307.0601,49.9463,30.4233,29.6441,0.7883,91.6817,2.0,1,0,0
2024-01-01 09:38:25,SGD-0018,221.6409,4.9591,1044.1891,49.9112,30.8683,9.6156,0.7542,91.4836,0.0,1,0,0
2024-01-02 02:32:00,SGD-0005,214.8829,7.3279,1050.7097,49.7013,41.862,879.384,79.1027,19.0843,45.0,1,4,1
2024-01-02 05:44:25,SGD-0011,135.945,39.5111,3140.5183,44.6353,42.4094,158.9344,69.2165,28.8822,2.0,1,7,1
2024-01-02 01:49:20,SGD-0003,213.7782,5.9774,946.5534,49.8116,58.0751,848.6307,73.4576,2.3435,19.0,0,10,1
2024-01-01 08:26:20,SGD-0014,217.2599,5.5459,1144.6529,50.0245,35.1994,19.0904,1.3138,98.6078,0.0,1,0,0
2024-01-02 00:59:00,SGD-0007,216.9201,7.4102,1527.0547,50.0,30.0,467.6443,22.0371,22.7038,14.0,1,4,1
2024-01-01 20:53:20,SGD-0024,222.6078,4.247,898.1411,50.0,30.0,123.7813,28.6251,50.5428,11.0,1,6,1
2024-01-02 04:57:00,SGD-0047,211.8562,9.0958,561.7739,50.8526,32.9233,629.0147,43.0959,3.3766,37.0,1,8,1
2024-01-01 02:06:30,SGD-0045,221.0583,5.6857,1194.018,49.956,32.6482,14.1112,0.0375,97.6746,2.0,1,0,0
2024-01-01 14:24:50,SGD-0029,220.0314,4.955,1035.7452,49.8419,39.5319,24.5392,1.376,91.5112,2.0,1,0,0
2024-01-01 23:54:45,SGD-0011,224.7579,4.1868,893.9634,50.0,30.0,292.0297,33.2989,47.5034,25.0,1,6,1
2024-01-02 09:41:55,SGD-0050,211.4596,7.1796,721.7625,50.2418,52.5432,55.2933,1.7637,80.5735,2.0,1,0,2
2024-01-02 11:12:25,SGD-0023,217.3345,4.625,954.9084,50.0,32.3387,22.3379,2.197,88.6273,0.0,1,0,2
2024-01-01 08:04:15,SGD-0022,220.3224,5.2121,1090.9199,49.8861,32.1244,29.0614,1.3652,97.1794,0.0,1,0,0
2024-01-01 13:38:55,SGD-0033,221.1795,5.5395,1163.9661,49.9633,35.2667,7.7379,1.9006,95.5925,1.0,1,0,0
2024-01-02 12:22:50,SGD-0035,217.3345,4.625,954.9084,50.0,32.3387,33.059,0.3716,84.3281,0.0,1,0,2
2024-01-02 01:31:00,SGD-0020,218.5206,5.6733,744.6589,48.0271,38.6893,898.8834,42.9008,13.7471,33.0,0,14,1
2024-01-02 11:41:35,SGD-0011,217.3345,4.625,954.9084,50.0,32.3387,12.2388,2.1931,80.5914,1.0,1,0,2
2024-01-02 02:33:50,SGD-0046,203.4051,5.2101,548.2349,51.3625,51.9804,693.9773,58.2299,6.9081,33.0,1,9,1
2024-01-02 09:02:50,SGD-0049,362.7847,36.7622,1805.5128,56.4827,52.3989,205.3696,40.143,12.29,7.0,0,9,1
2024-01-01 23:48:25,SGD-0017,218.4287,6.7787,1406.6261,50.0,30.0,480.7874,27.8889,41.7412,27.0,1,1,1
2024-01-01 18:21:05,SGD-0035,333.101,1.6484,682.8731,47.3488,50.3304,176.3659,9.5738,50.0761,9.0,1,4,1
2024-01-02 08:16:45,SGD-0021,353.0061,6.6829,3725.2917,48.8669,20.2335,776.5297,34.3764,33.608,10.0,1,8,1
